fedofficialspeaking                                         ,  62
consumerpriceindex                                          ,  59
changeinnonfarmpayrolls                                     ,  58
unemploymentrate                                            ,  58
ismmanufacturing                                            ,  57
durablegoodsorders                                          ,  56
consumerpriceindexexfood&energy                             ,  43
advanceretailsales                                          ,  40
uofmichiganconfidence                                       ,  40
consumerconfidence                                          ,  36
fomcratedecision                                            ,  36
advancegoodstradebalance                                    ,  31
fedchaircomments                                            ,  31
grossdomesticproduct                                        ,  31
personalconsumptionexpenditurecore                          ,  26
federalopenmarketcommitteeratedecision                      ,  23
ismemployment                                               ,  21
ismnonmanufacturing/servicescomposite                       ,  21
retailsalesadvance                                          ,  18
consumerconfidenceindex                                     ,  17
consumerpriceindexexfoodandenergy                           ,  17
fomcmeetingminutes                                          ,  17
uofmichsentiment                                            ,  17
grossdomesticproductpriceindex                              ,  16
grossdomesticproductannualized                              ,  15
ismnonmanufacturingcomposite                                ,  13
pcecore                                                     ,  13
personalconsumption                                         ,  12
trumpremark                                                 ,  11
ismnonmanufacutringcomposite                                ,  10
ismservices/nonmanufacturingcomposite                       ,  10
fedsummaryofeconomicprojections                             ,   5
corepersonalconsumptionexpenditure                          ,   4
fedpaceofmbspurchases                                       ,   4
fedpaceoftreasurypur                                        ,   3
fedqe3pace                                                  ,   3
interestrateonexcessreserves                                ,   3
