time,currency,title,priority,actual,forecast,previous
"2019-03-10T01:01:00","cny","CNY Aggregate Financing CNY (FEB)","Medium","703.0b","1300.0b","4640.0b"
"2019-03-10T01:01:00","cny","CNY Money Supply M2 (YoY) (FEB)","Low","8.0%","8.40%","8.40%"
"2019-03-10T01:05:00","cny","CNY New Yuan Loans CNY (FEB)","High","885.5b","950.0b","3230.0b"
"2019-03-10T01:32:00","cny","CNY Money Supply M0 (YoY) (FEB)","Low","-2.4%","10.00%","17.20%"
"2019-03-10T01:32:00","cny","CNY Money Supply M1 (YoY) (FEB)","Low","2.00%","2.00%","0.40%"
"2019-03-10T21:45:00","nzd","NZD Card Spending Retail (MoM) (FEB)","Low","0.9%","0.30%","1.80%"
"2019-03-10T21:45:00","nzd","NZD NZ Card Spending (MoM) (FEB)","Low","0.1%","","2.00%"
"2019-03-10T23:00:00","usd","USD Fed's Powell Interviewed on the CBS `60 Minutes' Program","High","","",""
"2019-03-10T23:50:00","jpy","JPY Japan Money Stock M2+CD (YoY) (FEB)","Low","2.4%","2.40%","2.30%"
"2019-03-10T23:50:00","jpy","JPY Japan Money Stock M3 (YoY) (FEB)","Low","2.1%","2.10%","2.10%"
"2019-03-11T06:00:00","jpy","JPY Machine Tool Orders (YoY) (FEB P)","Medium","-29.3%","","-18.80%"
"2019-03-11T07:00:00","eur","EUR German Industrial Production s.a. (MoM) (JAN)","Low","-0.8%","0.50%","-0.40%"
"2019-03-11T07:00:00","eur","EUR German Industrial Production n.s.a. and w.d.a. (YoY) (JAN)","Medium","-3.30%","-3.30%","-3.90%"
"2019-03-11T07:00:00","eur","EUR German Trade Balance (JAN)","Medium","14.5b","15.2b","14.3b"
"2019-03-11T07:00:00","eur","EUR German Current Account (euros) (JAN)","Low","18.3b","18.0b","21.0b"
"2019-03-11T07:00:00","eur","EUR German Exports s.a. (MoM) (JAN)","Low","0.0%","-0.50%","1.50%"
"2019-03-11T07:00:00","eur","EUR German Imports s.a. (MoM) (JAN)","Low","1.5%","-0.10%","0.7%"
"2019-03-11T09:00:00","chf","CHF Total Sight Deposits CHF (MAR 08)","Low","576,1b","","576.4b"
"2019-03-11T09:00:00","chf","CHF Domestic Sight Deposits CHF (MAR 08)","Low","487.6b","","491.4b"
"2019-03-11T12:30:00","usd","USD Retail Sales Advance (MoM) (JAN)","High","0.2%","0.00%","-1.60%"
"2019-03-11T12:30:00","usd","USD Retail Sales Ex Auto (MoM) (JAN)","Low","0.90%","0.30%","-2.10%"
"2019-03-11T12:30:00","usd","USD Retail Sales Ex Auto and Gas (JAN)","Medium","1.20%","0.60%","-1.60%"
"2019-03-11T12:30:00","usd","USD Retail Sales Control Group (JAN)","Medium","1.10%","0.60%","-2.30%"
"2019-03-11T13:00:00","gbp","GBP BOE's Haskel Speaks in Birmingham","Low","","",""
"2019-03-11T14:00:00","usd","USD Business Inventories (DEC)","Medium","0.60%","0.60%","-0.10%"
"2019-03-11T15:30:00","usd","USD U.S. to Sell 3-Month Bills","Low","","",""
"2019-03-11T15:30:00","usd","USD U.S. to Sell 6-Month Bills","Low","","",""
"2019-03-11T17:00:00","usd","USD U.S. to Sell USD38 Bln 3-Year Notes","Low","","",""
"2019-03-11T21:00:00","nzd","NZD ANZ Truckometer Heavy (MoM) (FEB)","Low","0.4%","","3.50%"
"2019-03-11T22:30:00","aud","AUD ANZ Roy Morgan Weekly Consumer Confidence Index (MAR 10)","Low","109.5","","114.8"
"2019-03-11T23:00:00","usd","USD Powell Gives Welcome Remarks at Conference in Washington","High","","",""
"2019-03-11T23:50:00","jpy","JPY BSI Large All Industry (QoQ) (1Q)","Low","-1.7","","4.3"
"2019-03-11T23:50:00","jpy","JPY BSI Large Manufacturing (QoQ) (1Q)","Low","-7.3","","5.5"
"2019-03-12T00:01:00","aud","AUD Australia Manpower Survey (2Q)","Low","10%","","14%"
"2019-03-12T00:01:00","jpy","JPY Japan Manpower Survey (2Q)","Low","27","","27"
"2019-03-12T00:01:00","nzd","NZD New Zealand Manpower Survey (2Q)","Low","9%","","17%"
"2019-03-12T00:30:00","aud","AUD NAB Business Conditions (FEB)","Low","4","","7"
"2019-03-12T00:30:00","aud","AUD NAB Business Confidence (FEB)","Medium","2","","4"
"2019-03-12T00:30:00","aud","AUD Home Loans (MoM) (JAN)","Medium","-1.20%","-2.00%","-8.00%"
"2019-03-12T00:30:00","aud","AUD Owner-Occupier Loan Value (MoM) (JAN)","Low","-1.30%","0.00%","-5.30%"
"2019-03-12T00:30:00","aud","AUD Investment Lending (JAN)","Low","-4.10%","-1.50%","-4.60%"
"2019-03-12T04:00:00","cny","CNY Manpower Survey (2Q)","Low","6%","","10%"
"2019-03-12T06:30:00","aud","AUD RBA's Debelle Gives Speech in Sydney","Low","","",""
"2019-03-12T08:45:00","eur","EUR SSM's Enria Speaks in Basel","Low","","",""
"2019-03-12T09:30:00","gbp","GBP Visible Trade Balance (Pounds) (JAN)","Medium","-£13100m","-£12200m","-£12690m"
"2019-03-12T09:30:00","gbp","GBP Trade Balance Non EU GBP/Mn (JAN)","Medium","-£4977m","-£3800m","-£4369m"
"2019-03-12T09:30:00","gbp","GBP Monthly GDP 3M/3M Change (JAN)","Medium","0.20%","0.20%","0.20%"
"2019-03-12T09:30:00","gbp","GBP Industrial Production (MoM) (JAN)","Low","0.60%","0.20%","-0.50%"
"2019-03-12T09:30:00","gbp","GBP Industrial Production (YoY) (JAN)","Medium","-0.90%","-1.30%","-0.90%"
"2019-03-12T09:30:00","gbp","GBP Manufacturing Production (MoM) (JAN)","Low","0.80%","0.20%","-0.70%"
"2019-03-12T09:30:00","gbp","GBP Manufacturing Production (YoY) (JAN)","Medium","-1.10%","-1.90%","-2.10%"
"2019-03-12T09:30:00","gbp","GBP Construction Output SA (MoM) (JAN)","Low","2.80%","0.80%","-2.80%"
"2019-03-12T09:30:00","gbp","GBP Construction Output SA (YoY) (JAN)","Medium","1.80%","-0.20%","-2.40%"
"2019-03-12T09:30:00","gbp","GBP Gross Domestic Product (MoM) (JAN)","Medium","0.50%","0.20%","-0.40%"
"2019-03-12T09:30:00","gbp","GBP Index of Services (MoM) (JAN)","Low","0.30%","0.20%","-0.20%"
"2019-03-12T10:00:00","usd","USD NFIB Small Business Optimism (FEB)","Low","101.7","102.0","101.2"
"2019-03-12T10:45:00","eur","EUR ECB's Lautenschlaeger Speaks in Basel","Low","","",""
"2019-03-12T12:30:00","usd","USD Consumer Price Index (MoM) (FEB)","Medium","0.2%","0.20%","0.00%"
"2019-03-12T12:30:00","usd","USD Consumer Price Index Ex Food and Energy (MoM) (FEB)","Medium","0.1%","0.20%","0.20%"
"2019-03-12T12:30:00","usd","USD Consumer Price Index (YoY) (FEB)","High","1.50%","1.60%","1.60%"
"2019-03-12T12:30:00","usd","USD Consumer Price Index Ex Food and Energy (YoY) (FEB)","High","2.10%","2.20%","2.20%"
"2019-03-12T12:30:00","usd","USD Consumer Price Index Core Index s.a. (FEB)","Low","260.989","261.195","260.701"
"2019-03-12T12:30:00","usd","USD Consumer Price Index n.s.a. (FEB)","Low","252.776","252.866","251.712"
"2019-03-12T12:30:00","usd","USD Real Avg Weekly Earnings (YoY) (FEB)","Medium","1.6%","","1.90%"
"2019-03-12T12:30:00","usd","USD Real Avg Hourly Earning (YoY) (FEB)","Medium","1.9%","","1.6%"
"2019-03-12T12:45:00","usd","USD Brainard Speaks at Community Reinvestment Conference in DC","Low","","",""
"2019-03-12T17:00:00","usd","USD U.S. to Sell USD24 Bln 10-Year Notes Reopening","Low","","",""
"2019-03-12T21:45:00","nzd","NZD Food Prices (MoM) (FEB)","Low","0.40%","","1.00%"
"2019-03-12T23:21:00","nzd","NZD REINZ House Sales (YoY) (FEB)","Medium","-9.50%","","-2.50%"
"2019-03-12T23:30:00","aud","AUD Westpac Consumer Conf Index (MAR)","Low","98.8","","103.8"
"2019-03-12T23:30:00","aud","AUD Westpac Consumer Confidence (MAR)","Medium","-4.8%","","4.30%"
"2019-03-12T23:50:00","jpy","JPY Domestic Corporate Goods Price Index (YoY) (FEB)","Low","0.80%","0.70%","0.60%"
"2019-03-12T23:50:00","jpy","JPY Domestic Corporate Goods Price Index (MoM) (FEB)","Low","0.2%","0.10%","-0.60%"
"2019-03-12T23:50:00","jpy","JPY Machine Orders (MoM) (JAN)","Low","-5.40%","-1.50%","-0.10%"
"2019-03-12T23:50:00","jpy","JPY Machine Orders (YoY) (JAN)","Medium","-2.90%","-2.10%","0.90%"
"2019-03-13T01:10:00","jpy","JPY BOJ Outright Bond Purchase 10~25 Years","Low","","",""
"2019-03-13T01:10:00","jpy","JPY BOJ Outright Bond Purchase 25 Years~","Low","","",""
"2019-03-13T01:10:00","jpy","JPY BOJ Outright Bond Purchase 5~10 Years","Low","","",""
"2019-03-13T04:30:00","jpy","JPY Tertiary Industry Index (MoM) (JAN)","Medium","0.40%","-0.30%","-0.50%"
"2019-03-13T10:00:00","eur","EUR Euro-Zone Industrial Production s.a. (MoM) (JAN)","Low","1.40%","1.00%","-0.90%"
"2019-03-13T10:00:00","eur","EUR Euro-Zone Industrial Production w.d.a. (YoY) (JAN)","Medium","-1.10%","-2.10%","-4.20%"
"2019-03-13T11:00:00","usd","USD MBA Mortgage Applications (MAR 08)","Medium","2.30%","","-2.50%"
"2019-03-13T12:30:00","cad","CAD Teranet/National Bank HPI (MoM) (FEB)","Low","-0.40%","","-0.10%"
"2019-03-13T12:30:00","cad","CAD Teranet/National Bank HP Index (FEB)","Low","223.00","","223.96"
"2019-03-13T12:30:00","cad","CAD Teranet/National Bank HPI (YoY) (FEB)","Low","1.90%","","2.20%"
"2019-03-13T12:30:00","usd","USD Producer Price Index Final Demand (MoM) (FEB)","Low","0.10%","0.20%","-0.10%"
"2019-03-13T12:30:00","usd","USD Producer Price Index Ex Food and Energy (MoM) (FEB)","Low","0.10%","0.20%","0.30%"
"2019-03-13T12:30:00","usd","USD PPI Ex Food, Energy, Trade (MoM) (FEB)","Low","0.10%","0.20%","0.20%"
"2019-03-13T12:30:00","usd","USD PPI Final Demand (YoY) (FEB)","Low","1.90%","1.90%","2.00%"
"2019-03-13T12:30:00","usd","USD Producer Price Index Ex Food and Energy (YoY) (FEB)","Low","2.50%","2.60%","2.60%"
"2019-03-13T12:30:00","usd","USD PPI Ex Food, Energy, Trade (YoY) (FEB)","Low","2.30%","","2.50%"
"2019-03-13T12:30:00","usd","USD Durable Goods Orders (JAN P)","High","0.40%","-0.40%","1.30%"
"2019-03-13T12:30:00","usd","USD Durables Ex Transportation (JAN P)","Medium","-0.10%","0.10%","0.30%"
"2019-03-13T12:30:00","usd","USD Cap Goods Orders Nondef Ex Air (JAN P)","Low","0.80%","0.20%","-0.90%"
"2019-03-13T12:30:00","usd","USD Cap Goods Ship Nondef Ex Air (JAN P)","Low","0.80%","-0.20%","0.10%"
"2019-03-13T14:00:00","usd","USD Construction Spending (MoM) (JAN)","Medium","1.3%","0.40%","-0.80%"
"2019-03-13T14:00:00","mxn","MXN Industrial Production NSA (YoY) (JAN)","Medium","-0.90%","-2.00%","-2.50%"
"2019-03-13T14:30:00","usd","USD DOE U.S. Crude Oil Inventories (MAR 08)","Medium","-3862k","3000k","7069k"
"2019-03-13T14:30:00","usd","USD DOE Cushing OK Crude Inventory (MAR 08)","Low","-672k","","873k"
"2019-03-13T14:30:00","usd","USD DOE U.S. Gasoline Inventories (MAR 08)","Low","-4624k","-3000k","-4227k"
"2019-03-13T14:30:00","usd","USD DOE U.S. Distillate Inventory (MAR 08)","Low","383k","-2000k","-2393k"
"2019-03-13T17:00:00","usd","USD U.S. to Sell USD16 Bln 30-Year Bonds Reopening","Low","","",""
"2019-03-13T17:00:00","eur","EUR ECB's Coeure Speaks in Milan","Low","","",""
"2019-03-13T23:50:00","jpy","JPY Japan Buying Foreign Bonds (Yen) (MAR 08)","Low","¥245.7b","","¥456.1bb"
"2019-03-13T23:50:00","jpy","JPY Japan Buying Foreign Stocks (Yen) (MAR 08)","Low","¥623.8b","","-¥1.6b"
"2019-03-13T23:50:00","jpy","JPY Foreign Buying Japan Bonds (MAR 08)","Low","¥459.1b","","¥1025.8b"
"2019-03-13T23:50:00","jpy","JPY Foreign Buying Japan Stocks (MAR 08)","Low","-¥1158.6b","","-¥340.5b"
"2019-03-14T00:00:00","aud","AUD Consumer Inflation Expectation (MAR)","Medium","4.10%","","3.70%"
"2019-03-14T00:01:00","gbp","GBP RICS House Price Balance (FEB)","Medium","-28%","-24%","-22%"
"2019-03-14T02:00:00","cny","CNY Fixed Assets Ex Rural YTD (YoY) (FEB)","Medium","6.10%","6.10%","5.90%"
"2019-03-14T02:00:00","cny","CNY Industrial Production YTD (YoY) (FEB)","Medium","5.30%","5.60%","6.20%"
"2019-03-14T02:00:00","cny","CNY Retail Sales YTD (YoY) (FEB)","Medium","8.20%","8.20%","9.00%"
"2019-03-14T02:00:00","cny","CNY Surveyed Jobless Rate (FEB)","Medium","5.30%","","4.90%"
"2019-03-14T02:00:00","cny","CNY Property Investment (YoY) (FEB)","Medium","11.60%","","9.50%"
"2019-03-14T06:45:00","chf","CHF SECO March 2019 Economic Forecasts","Low","","",""
"2019-03-14T07:00:00","eur","EUR German Consumer Price Index (MoM) (FEB F)","Low","0.40%","0.50%","0.50%"
"2019-03-14T07:00:00","eur","EUR German Consumer Price Index (YoY) (FEB F)","Medium","1.50%","1.60%","1.60%"
"2019-03-14T07:30:00","chf","CHF Producer & Import Prices (MoM) (FEB)","Low","0.20%","-0.10%","-0.70%"
"2019-03-14T07:30:00","chf","CHF Producer & Import Prices (YoY) (FEB)","Low","-0.70%","-1.00%","-0.50%"
"2019-03-14T12:30:00","cad","CAD New Housing Price Index (MoM) (JAN)","Low","-0.1%","0.00%","0.00%"
"2019-03-14T12:30:00","cad","CAD New Housing Price Index (YoY) (JAN)","Medium","-0.10%","0.00%","0.00%"
"2019-03-14T12:30:00","usd","USD Import Price Index (MoM) (FEB)","Low","0.6%","0.30%","0.10%"
"2019-03-14T12:30:00","usd","USD Import Price Index ex Petroleum (MoM) (FEB)","Medium","0.1%","-0.10%","-0.60%"
"2019-03-14T12:30:00","usd","USD Import Price Index (YoY) (FEB)","Low","-1.30%","-1.60%","-1.60%"
"2019-03-14T12:30:00","usd","USD Export Price Index (MoM) (FEB)","Low","0.60%","0.10%","-0.50%"
"2019-03-14T12:30:00","usd","USD Export Price Index (YoY) (FEB)","Medium","0.30%","","-0.20%"
"2019-03-14T12:30:00","usd","USD Initial Jobless Claims (MAR 09)","Medium","229K","225k","223k"
"2019-03-14T12:30:00","usd","USD Continuing Claims (MAR 02)","Medium","1776k","1763k","1758k"
"2019-03-14T14:00:00","usd","USD New Home Sales (MoM) (JAN)","Medium","-6.9%","0.30%","3.70%"
"2019-03-14T14:00:00","usd","USD New Home Sales (JAN)","Low","607k","623k","621k"
"2019-03-14T14:30:00","usd","USD EIA Working Natural Gas Implied Flow (MAR 08)","Low","-204","","-149"
"2019-03-14T15:30:00","usd","USD U.S. to Sell 4-Week Bills","Low","","",""
"2019-03-14T15:30:00","usd","USD U.S. to Sell 8-Week Bills","Low","","",""
"2019-03-14T21:30:00","nzd","NZD BusinessNZ Manufacturing PMI (FEB)","Medium","53.7","","53.1"
"2019-03-14T21:45:00","nzd","NZD Net Migration s.a. (JAN)","Low","6.3K","","5080"
"2019-03-14T22:50:00","cad","CAD Bank of Canada Wilkins Speech","Low","","",""
"2019-03-15T01:30:00","cny","CNY New Home Prices (MoM) (FEB)","Medium","0.53%","","0.61%"
"2019-03-15T02:39:00","jpy","JPY BOJ Rate Decision (MAR 15)","High","-0.10%","","-0.10%"
"2019-03-15T02:39:00","jpy","JPY BOJ 10-Yr Yield Target (MAR 15)","High","0.00%","","0.00%"
"2019-03-15T03:20:00","cny","CNY Foreign Direct Investment (YoY) (FEB)","Medium","6.60%","","4.80%"
"2019-03-15T07:00:00","eur","EUR German Wholesale Price Index (YoY) (FEB)","Low","1.6%","","1.10%"
"2019-03-15T07:00:00","eur","EUR German Wholesale Price Index (MoM) (FEB)","Low","0.30%","","-0.70%"
"2019-03-15T07:00:00","eur","EUR EU 25 New Car Registrations (FEB)","Low","","","-4.60%"
"2019-03-15T10:00:00","eur","EUR Euro-Zone Consumer Price Index Core (YoY) (FEB F)","Medium","1.00%","1.00%","1.00%"
"2019-03-15T10:00:00","eur","EUR Euro-Zone Consumer Price Index (MoM) (FEB)","Medium","0.30%","0.30%","-1.00%"
"2019-03-15T10:00:00","eur","EUR Euro-Zone Consumer Price Index (YoY) (FEB F)","Medium","1.50%","1.50%","1.40%"
"2019-03-15T12:30:00","cad","CAD Manufacturing Sales (MoM) (JAN)","Low","1%","0.40%","-1.30%"
"2019-03-15T12:30:00","usd","USD Empire Manufacturing (MAR)","Low","3.7","10.0","8.8"
"2019-03-15T13:00:00","cad","CAD Existing Home Sales (MoM) (FEB)","Medium","-9.1%","-4.00%","3.60%"
"2019-03-15T13:15:00","usd","USD Industrial Production (MoM) (FEB)","Medium","0.1%","0.40%","-0.60%"
"2019-03-15T13:15:00","usd","USD Capacity Utilization (FEB)","Low","78.2%","78.50%","78.20%"
"2019-03-15T13:15:00","usd","USD Manufacturing (SIC) Production (FEB)","Medium","-0.50%","0.20%","-0.90%"
"2019-03-15T14:00:00","usd","USD JOLTS Job Openings (JAN)","Low","7581","7225","7335"
"2019-03-15T14:00:00","usd","USD U. of Mich. Sentiment (MAR P)","High","97.8","95.6","93.8"
"2019-03-15T14:00:00","usd","USD U. of Mich. Current Conditions (MAR P)","Low","111.2","","108.5"
"2019-03-15T14:00:00","usd","USD U. of Mich. Expectations (MAR P)","Low","89.2","","84.4"
"2019-03-15T14:00:00","usd","USD U. of Mich. 1 Yr Inflation (MAR P)","Low","2.4%","","2.60%"
"2019-03-15T14:00:00","usd","USD U. of Mich. 5-10 Yr Inflation (MAR P)","Low","2.5%","","2.30%"
"2019-03-15T17:00:00","usd","USD Baker Hughes U.S. Rig Count (MAR 15)","Medium","1026","","1027"
"2019-03-15T20:00:00","usd","USD Net Long-term TIC Flows (JAN)","Medium","-$7.2b","","-$48.3b"
"2019-03-15T20:00:00","usd","USD Total Net TIC Flows (JAN)","Low","-$143.7b","","-$113.5b"
"2019-03-03T23:46:00","aud","AUD ANZ Job Advertisements (MoM) (FEB)","Low","-0.9%","","-1.80%"
"2019-03-03T23:50:00","jpy","JPY Monetary Base (YoY) (FEB)","Medium","4.60%","","4.70%"
"2019-03-03T23:50:00","jpy","JPY Monetary Base End of period (FEB)","Medium","¥497.3t","","¥500.2t"
"2019-03-04T00:00:00","nzd","NZD Dairy Auction Avg. Winning Price MT (MAR 05)","Medium","","","$3,271"
"2019-03-04T00:00:00","nzd","NZD Dairy Auction Whole Milk Powder MT (MAR 05)","Medium","","","$3,022"
"2019-03-04T00:00:00","aud","AUD TD Securities Inflation (MoM) (FEB)","Low","0.10%","","-0.10%"
"2019-03-04T00:00:00","aud","AUD TD Securities Inflation (YoY) (FEB)","Medium","1.70%","","1.50%"
"2019-03-04T00:30:00","aud","AUD Inventories SA (QoQ) (4Q)","Low","-0.2%","0.30%","-0.1%"
"2019-03-04T00:30:00","aud","AUD Company Operating Profit (QoQ) (4Q)","Low","0.80%","3.00%","1.20%"
"2019-03-04T00:30:00","aud","AUD Building Approvals (MoM) (JAN)","Low","2.50%","1.50%","-8.10%"
"2019-03-04T00:30:00","aud","AUD Building Approvals (YoY) (JAN)","Medium","-28.60%","-28.90%","-22.00%"
"2019-03-04T01:10:00","jpy","JPY BOJ Outright Bond Purchase 3~5 Years","Low","","",""
"2019-03-04T01:10:00","jpy","JPY BOJ Outright Bond Purchase 1~3 Years","Low","","",""
"2019-03-04T01:10:00","jpy","JPY BOJ Outright Bond Purchase 10~25 Years","Low","","",""
"2019-03-04T01:10:00","jpy","JPY BOJ Outright Bond Purchase 25 Years~","Low","","",""
"2019-03-04T06:25:00","chf","CHF SNB Annual Result 2018 (2018)","Low","","",""
"2019-03-04T09:00:00","chf","CHF Total Sight Deposits CHF (MAR 01)","Low","576,4b","","576.5b"
"2019-03-04T09:00:00","chf","CHF Domestic Sight Deposits CHF (MAR 01)","Low","491.4b","","493.6b"
"2019-03-04T09:30:00","eur","EUR Euro-Zone Sentix Investor Confidence (MAR)","Low","-2.2","-3.1","-3.7"
"2019-03-04T09:30:00","gbp","GBP Markit/CIPS UK Construction PMI (FEB)","Medium","49.5","50.5","50.6"
"2019-03-04T10:00:00","eur","EUR Euro-Zone Producer Price Index (MoM) (JAN)","Low","0.40%","0.30%","-0.80%"
"2019-03-04T10:00:00","eur","EUR Euro-Zone Producer Price Index (YoY) (JAN)","Low","3.00%","2.90%","3.00%"
"2019-03-04T13:30:00","cad","CAD MLI Leading Indicator (MoM) (JAN)","Low","0.0%","","-0.10%"
"2019-03-04T15:00:00","usd","USD Construction Spending (MoM) (DEC)","Medium","-0.6%","0.1%","0.8%"
"2019-03-04T16:30:00","usd","USD U.S. to Sell USD48 Bln 3-Month Bills","Low","","",""
"2019-03-04T16:30:00","usd","USD U.S. to Sell USD39 Bln 6-Month Bills","Low","","",""
"2019-03-04T21:30:00","aud","AUD AiG Performance of Service Index (FEB)","Medium","44.5","","44.3"
"2019-03-04T22:00:00","aud","AUD CBA Australia PMI Services (FEB F)","Low","48.7","","49.3"
"2019-03-04T22:00:00","aud","AUD CBA Australia PMI Composite (FEB F)","Low","49.1","","49.7"
"2019-03-04T22:30:00","aud","AUD ANZ Roy Morgan Weekly Consumer Confidence Index (MAR 03)","Low","114.8","","114.1"
"2019-03-05T00:00:00","nzd","NZD ANZ Commodity Price (FEB)","Low","2.8%","","2.00%"
"2019-03-05T00:01:00","gbp","GBP BRC Sales Like-For-Like (YoY) (FEB)","Low","-0.10%","0.10%","1.80%"
"2019-03-05T00:30:00","aud","AUD Current Account Balance (Australian Dollar) (4Q)","Medium","-A$7.2b","-A$9.1b","-A$10.8b"
"2019-03-05T00:30:00","aud","AUD Net Exports of Gross Domestic Product (4Q)","Low","-0.2","-0.1","0.4"
"2019-03-05T00:30:00","jpy","JPY Nikkei Japan PMI Composite (FEB)","Medium","50.7","","50.9"
"2019-03-05T00:30:00","jpy","JPY Nikkei Japan PMI Services (FEB)","Medium","52.3","","51.6"
"2019-03-05T01:45:00","cny","CNY Caixin China PMI Composite (FEB)","Medium","50.7","","50.9"
