trading_day(-17h),buy_time,buy_price,sell_time,sell_price
2018-01-01,10:58:58.76800,6397.75,21:51:55.80100,6523.25
2018-01-02,00:00:04.24706,6511.25,21:50:00.24700,6591.25
2018-01-03,00:45:27.79000,6580.00,14:25:26.19604,6617.50
2018-01-04,03:16:30.86000,6599.75,22:14:58.73716,6671.00
2018-01-07,14:28:57.67100,6653.25,17:40:01.69805,6690.75
2018-01-08,15:53:09.79401,6667.25,19:24:42.75200,6707.25
2018-01-09,16:02:05.32300,6628.25,22:49:00.36101,6678.00
2018-01-10,04:00:25.77901,6664.25,22:34:12.14302,6728.75
2018-01-11,15:30:25.98501,6703.25,22:01:59.62702,6777.75
2018-01-14,00:00:01.92504,6776.00,06:29:41.40303,6798.50
2018-01-15,00:29:05.60100,6776.00,15:48:03.60400,6845.75
2018-01-16,00:48:14.56001,6744.75,21:10:00.64600,6834.25
2018-01-17,16:15:08.02908,6796.00,20:37:45.72900,6838.00
2018-01-18,04:39:48.71000,6801.50,15:40:17.96219,6857.00
2018-01-21,00:01:02.48300,6824.25,22:44:52.31400,6941.25
2018-01-22,12:39:08.35401,6919.75,21:50:00.03307,6981.25
2018-01-23,19:21:15.02709,6888.25,20:47:17.01203,6958.50
2018-01-24,00:34:52.99000,6921.50,14:52:11.31202,6987.25
2018-01-25,00:06:34.74800,6934.25,22:50:58.05800,7034.50
2018-01-28,17:13:48.63700,6980.50,19:17:51.37003,7027.50
2018-01-29,16:07:24.62600,6902.75,17:10:59.25515,6969.25
2018-01-30,00:02:36.74400,6936.75,15:44:51.59100,6991.00
2018-01-31,15:14:33.75001,6898.00,19:06:14.95508,6979.50
2018-02-01,16:05:49.66103,6803.00,17:13:56.58101,6865.75
2018-02-04,21:11:03.33903,6499.00,21:29:48.95100,6645.25
2018-02-05,05:17:37.09301,6260.25,22:01:50.69101,6677.50
2018-02-06,07:30:09.49501,6565.00,17:15:24.27000,6717.75
2018-02-07,00:58:49.11302,6490.25,14:30:22.20501,6618.50
2018-02-08,19:38:32.35205,6164.00,21:51:45.37301,6455.50
2018-02-11,00:37:07.17700,6414.25,21:22:22.85803,6567.50
2018-02-12,15:03:45.24703,6470.75,21:40:47.55614,6571.00
2018-02-13,14:32:53.61004,6456.25,22:10:25.15226,6692.75
2018-02-14,17:03:51.69616,6669.75,22:43:53.62910,6827.50
2018-02-15,15:28:34.52000,6778.25,18:34:55.81900,6847.25
2018-02-18,00:00:01.20900,6782.25,06:27:59.07300,6819.50
2018-02-19,11:07:16.47203,6723.25,18:58:37.40101,6843.75
2018-02-20,05:39:05.88000,6774.75,20:25:29.44247,6885.50
2018-02-21,02:26:34.45300,6694.75,17:54:05.11514,6831.50
2018-02-22,01:32:18.12800,6782.75,22:35:28.78103,6913.75
2018-02-25,01:57:02.43500,6890.00,22:32:27.20607,7007.50
2018-02-26,18:25:43.93700,6912.25,19:27:44.36803,6962.75
2018-02-27,17:48:42.13600,6893.00,20:01:12.96600,6970.50
2018-02-28,16:00:14.66903,6796.75,16:36:09.21700,6898.00
2018-03-01,15:45:14.84600,6646.00,21:56:59.92100,6823.25
2018-03-04,08:44:44.13900,6742.50,21:06:29.77802,6904.50
2018-03-05,01:06:32.39101,6877.00,16:30:25.17201,6939.25
2018-03-06,01:36:40.01500,6798.25,21:47:15.17001,6937.00
2018-03-07,00:42:36.47804,6913.50,22:12:32.96801,6977.25
2018-03-08,14:29:46.30705,6987.75,22:01:19.91102,7129.50
2018-03-11,00:00:00.36308,7124.00,19:40:04.13402,7185.00
2018-03-12,04:10:03.34501,7151.25,15:48:07.38601,7214.50
2018-03-13,05:02:08.68306,7042.50,12:08:12.27600,7121.50
2018-03-14,03:11:07.29602,7027.25,17:26:48.52300,7100.00
2018-03-15,09:45:33.84506,7051.50,16:21:38.89819,7084.75
2018-03-18,20:40:47.62300,6821.25,22:51:14.02301,6918.00
2018-03-19,17:52:59.09400,6863.00,21:06:51.22400,6922.00
2018-03-20,15:40:38.82200,6878.25,20:17:01.71903,6951.00
2018-03-21,17:42:36.13300,6715.00,19:45:29.78300,6807.75
2018-03-22,04:42:26.75300,6594.25,15:34:33.45801,6721.25
2018-03-25,00:41:11.55400,6525.00,21:57:55.18401,6779.00
2018-03-26,01:17:25.60700,6770.50,11:59:37.07003,6849.25
2018-03-27,16:50:33.43401,6421.00,18:20:19.84917,6574.50
2018-03-28,15:53:40.39822,6443.75,21:13:30.77810,6653.75
2018-04-01,20:42:05.04506,6326.50,21:54:25.35406,6417.00
2018-04-02,16:20:18.39600,6351.25,21:11:50.45002,6496.75
2018-04-03,12:20:07.88100,6306.75,21:57:57.42600,6591.75
2018-04-04,00:22:26.72904,6574.00,09:21:44.82500,6654.50
2018-04-05,03:17:21.23607,6485.25,15:54:14.92601,6599.25
2018-04-08,01:29:01.27813,6460.00,18:15:41.93700,6618.00
2018-04-09,02:09:53.09500,6471.75,21:20:17.24904,6651.75
2018-04-10,13:30:32.94206,6550.75,18:11:23.85401,6663.25
2018-04-11,11:05:17.51701,6589.75,21:39:45.96000,6693.75
2018-04-12,02:23:36.25800,6645.50,15:42:53.51402,6713.00
2018-04-15,17:15:33.53400,6639.25,22:10:29.80929,6722.00
2018-04-16,00:30:04.49900,6698.50,21:38:21.58402,6844.75
2018-04-17,16:13:37.14400,6796.75,20:57:43.03401,6867.00
2018-04-18,20:28:40.87400,6755.25,21:35:18.08301,6801.00
2018-04-19,09:55:31.82207,6733.75,13:06:42.46415,6789.25
2018-04-22,20:55:11.76500,6616.75,22:03:23.33900,6693.25
2018-04-23,03:07:02.56302,6654.00,12:26:08.31703,6717.75
2018-04-24,16:03:09.84700,6429.25,22:37:10.26500,6576.25
2018-04-25,09:09:46.06700,6559.25,22:45:08.21105,6749.00
2018-04-26,16:55:59.37201,6623.00,17:29:57.67400,6680.50
2018-04-29,00:30:00.76700,6666.25,16:07:52.63701,6718.00
2018-04-30,15:43:02.73302,6578.75,22:31:01.32001,6740.00
2018-05-01,17:46:02.76401,6649.00,20:08:32.11117,6718.75
2018-05-02,16:56:53.56300,6538.00,20:37:22.58047,6671.50
2018-05-03,15:33:41.93101,6610.50,20:44:00.16300,6788.50
2018-05-06,00:00:13.25003,6772.25,20:32:58.36000,6851.25
2018-05-07,15:54:02.41400,6782.50,17:16:49.54800,6836.25
2018-05-08,17:01:46.66900,6808.25,22:10:23.52310,6901.25
2018-05-09,01:32:07.28800,6888.75,21:50:19.83200,6971.25
2018-05-10,15:51:44.40200,6937.50,16:56:45.88200,6975.00
2018-05-13,00:00:00.28610,6957.75,16:42:22.11301,7013.50
2018-05-14,16:00:07.10900,6860.00,16:39:12.51903,6908.25
2018-05-15,01:27:10.34100,6875.50,18:35:09.10602,6953.50
2018-05-16,14:36:48.13704,6898.00,16:59:14.59801,6962.00
2018-05-17,16:37:32.03900,6862.25,17:44:49.41300,6905.75
2018-05-20,09:05:32.22801,6898.75,15:44:18.56303,6957.00
2018-05-21,02:12:16.44300,6908.75,15:36:37.40313,6954.75
2018-05-22,11:42:04.51800,6829.75,22:00:41.96603,6961.50
2018-05-23,17:01:01.54600,6885.25,21:33:04.83400,6969.00
2018-05-24,00:00:00.23901,6954.75,03:34:34.98601,7003.75
2018-05-27,14:58:24.27000,6969.75,17:05:02.23305,6998.25
2018-05-28,10:33:57.60001,6895.00,16:09:18.63405,6971.75
2018-05-29,04:28:10.65700,6918.50,18:26:56.41514,6994.75
2018-05-30,16:51:04.64901,6958.25,17:42:04.10208,7023.50
2018-05-31,00:00:34.50100,6977.25,19:25:16.02217,7090.50
2018-06-03,00:00:08.59900,7071.75,19:05:00.69800,7151.50
2018-06-04,03:20:32.56300,7137.50,22:56:40.48805,7187.50
2018-06-05,16:50:12.12905,7142.25,22:54:55.09101,7222.25
2018-06-06,19:41:45.73001,7116.75,22:10:00.30901,7164.25
2018-06-07,10:20:30.11900,7101.50,21:50:31.33900,7187.75
2018-06-10,00:00:05.23403,7150.75,18:26:48.61503,7214.75
2018-06-11,03:00:38.80001,7181.00,22:56:12.35824,7244.75
2018-06-12,10:11:59.82001,7230.25,17:41:23.61600,7290.00
2018-06-13,09:19:40.24402,7205.25,19:36:15.73900,7321.00
2018-06-14,15:45:50.02501,7245.00,20:34:33.02700,7293.75
2018-06-17,15:36:09.94900,7208.75,17:15:58.78001,7280.75
2018-06-18,16:31:08.97105,7157.50,22:52:57.48401,7257.50
2018-06-19,03:17:15.61102,7226.75,20:18:18.92527,7336.50
2018-06-20,16:22:19.25400,7235.00,17:50:41.52401,7292.00
2018-06-21,00:04:35.02000,7222.00,14:23:46.31200,7274.00
2018-06-24,20:55:09.42203,6995.50,22:14:41.81200,7076.50
2018-06-25,04:15:18.43900,7040.50,19:20:26.38202,7130.00
2018-06-26,10:54:57.26200,7013.25,16:40:22.29000,7151.50
2018-06-27,14:37:05.59900,6956.00,21:14:56.27910,7076.50
2018-06-28,03:18:27.00202,7045.00,16:56:34.12720,7123.75
2018-07-01,15:31:55.43801,6987.50,22:08:46.37603,7119.75
2018-07-02,05:11:39.43100,7096.50,13:43:15.86800,7165.00
2018-07-03,00:00:20.16200,7015.00,12:56:58.20900,7052.75
2018-07-04,03:20:52.21000,7017.25,22:45:01.24203,7128.00
2018-07-05,02:00:55.14602,7101.25,21:27:50.40300,7237.75
2018-07-08,00:00:00.71000,7232.25,22:37:56.97402,7303.50
2018-07-09,00:00:51.82701,7297.75,02:54:06.15602,7335.50
2018-07-10,03:15:36.97202,7204.50,16:32:40.51804,7290.00
2018-07-11,00:42:32.26700,7249.50,21:59:37.17410,7387.00
2018-07-12,15:57:31.46204,7367.00,17:33:20.61900,7405.00
2018-07-15,15:46:14.11001,7382.25,16:02:08.67900,7405.50
2018-07-16,15:19:06.38401,7292.50,21:44:24.07701,7436.00
2018-07-17,16:36:00.35407,7381.50,20:08:13.83900,7417.50
2018-07-18,15:56:33.91901,7361.00,17:54:11.43000,7396.75
2018-07-19,03:45:46.03104,7350.75,16:46:06.81311,7413.75
2018-07-22,15:57:07.04800,7311.50,22:14:00.44101,7432.75
