market open at 0 and close at 23,announcement,largest difference 1 hour before,largest difference 1 hour after,ratio
2018-03-08 14:00:00,GBP NIESR Gross Domestic Product Estimate (FEB),26,293,11.26923077
2018-02-13 14:00:00,USD MBA Mortgage Applications (9 FEB),51,561,11
2018-06-18 01:30:00,AUD ANZ Roy Morgan Weekly Consumer Confidence Index (JUN 17),25,208,8.32
2018-04-02 15:30:00,USD Fed's Kashkari Speaks at Regional Economic Forum,59,464,7.86440678
2018-08-22 15:00:00,MXN Bi-Weekly Core Consumer Price Index (AUG 15),29,204,7.034482759
2018-08-22 15:00:00,MXN Bi-Weekly Consumer Price Index (AUG 15),29,204,7.034482759
2018-08-22 15:00:00,MXN Bi-Weekly Consumer Price Index (YoY) (AUG 15),29,204,7.034482759
2018-08-22 15:00:00,USD House Price Index (MoM) (JUN),29,204,7.034482759
2018-08-22 15:00:00,USD House Price Purchase Index (QoQ) (2Q),29,204,7.034482759
2018-11-04 15:25:00,"CAD Bank of Canada's Poloz Gives Speech in London, UK",62,426,6.870967742
2018-09-23 15:00:00,EUR ECB's Draghi Speaks at ECON Committee Meeting in Brussels,37,252,6.810810811
2018-09-23 15:00:00,MXN Bi-Weekly Core CPI (SEP 15),37,252,6.810810811
2018-09-23 15:00:00,MXN Bi-Weekly CPI (SEP 15),37,252,6.810810811
2018-09-23 15:00:00,MXN Bi-Weekly CPI (YoY) (SEP 15),37,252,6.810810811
2019-02-26 15:30:00,CAD Consumer Price Index n.s.a. (MoM) (JAN),44,284,6.454545455
2019-02-26 15:30:00,CAD Consumer Price Index (YoY) (JAN),44,284,6.454545455
2019-02-26 15:30:00,CAD Consumer Price Index (JAN),44,284,6.454545455
2019-02-26 15:30:00,CAD Consumer Price Index Core (YoY) (JAN),44,284,6.454545455
2019-02-26 15:30:00,CAD CPI Core- Median (YoY) (JAN),44,284,6.454545455
2019-02-26 15:30:00,CAD CPI Core- Trim (YoY) (JAN),44,284,6.454545455
2019-02-26 15:30:00,USD Advance Goods Trade Balance (DEC),44,284,6.454545455
2019-02-26 15:30:00,USD Retail Inventories (MoM) (DEC),44,284,6.454545455
2019-02-26 15:30:00,USD Wholesale Inventories (MoM) (DEC F),44,284,6.454545455
2018-09-04 15:00:00,MXN Consumer Confidence Index (AUG),45,278,6.177777778
2018-04-01 15:30:00,CAD RBC Canadian Manufacturing PMI (MAR),68,410,6.029411765
