event,date,beginD,endD,O,H,L,C,R,T,V,N,CD,TD,F,P,A,pre_date,pre_R,pre_T,pre_V
Consumer Confidence,2014-08-26 09:00:00,2014-08-26 08:59:00,2014-08-26 09:10:00,1999.0,2000.75,1997.25,1998.0,-0.0005002501250625312,14.0,54978,16021,175.0,9621150.0,89.0,90.3,92.4,2014-08-26 08:00:00,0.00025040691123075,3.0,2390
Consumer Confidence,2014-09-30 09:00:00,2014-09-30 08:59:00,2014-09-30 09:10:00,1966.75,1967.5,1962.75,1965.75,-0.0005084530316512013,19.0,80930,24456,237.5,19220875.0,92.5,93.4,86.0,2014-09-30 08:00:00,-0.0021524436566219295,18.0,24624
Consumer Confidence,2014-10-28 09:00:00,2014-10-28 08:59:00,2014-10-28 09:10:00,1964.5,1967.5,1964.0,1965.0,0.00025451768897938407,14.0,70493,22020,175.0,12336275.0,87.0,89.0,94.5,2014-10-28 08:00:00,0.0,9.0,13318
Consumer Confidence,2014-11-25 09:00:00,2014-11-25 08:59:00,2014-11-25 09:10:00,2069.5,2069.75,2065.25,2066.75,-0.0013288233872916163,18.0,56538,18875,225.0,12721050.0,96.0,94.5,88.7,2014-11-25 08:00:00,-0.0002413709872073377,4.0,3515
Consumer Confidence,2015-01-27 09:00:00,2015-01-27 08:59:00,2015-01-27 09:10:00,2024.25,2028.25,2022.25,2026.5,0.0011115227862171174,24.0,90933,34533,300.0,27279900.0,95.5,93.1,102.9,2015-01-27 08:00:00,0.0003696857670979667,12.0,20270
Consumer Confidence,2015-02-24 09:00:00,2015-02-24 08:59:00,2015-02-24 09:10:00,2107.0,2108.5,2102.75,2108.0,0.00047460844803037496,23.0,68124,21920,287.5,19585650.0,99.5,103.8,96.4,2015-02-24 08:00:00,-0.00023727607070826907,4.0,3146
Consumer Confidence,2015-03-31 09:00:00,2015-03-31 08:59:00,2015-03-31 09:10:00,2069.0,2070.75,2068.25,2070.75,0.0008458192363460609,10.0,42800,5681,125.0,5350000.0,96.4,98.8,101.3,2015-03-31 08:00:00,-0.00012100677637947725,9.0,5874
Consumer Confidence,2015-04-28 09:00:00,2015-04-28 08:59:00,2015-04-28 09:10:00,2101.25,2102.0,2092.75,2093.25,-0.0038072575847709696,37.0,116630,11466,462.5,53941375.0,102.5,101.4,95.2,2015-04-28 08:00:00,0.0004761337935960005,10.0,12791
Consumer Confidence,2015-05-26 09:00:00,2015-05-26 08:59:00,2015-05-26 09:10:00,2109.5,2111.0,2108.5,2108.5,-0.00047404598246029864,10.0,53926,6861,125.0,6740750.0,95.0,94.3,95.4,2015-05-26 08:00:00,-0.00047219926809113444,9.0,10867
Consumer Confidence,2015-06-30 09:00:00,2015-06-30 08:59:00,2015-06-30 09:10:00,2056.75,2058.75,2055.5,2056.75,0.0,13.0,47563,6747,162.5,7728987.5,97.1,95.4,101.4,2015-06-30 08:00:00,-0.0007261285247488806,10.0,8448
Consumer Confidence,2015-07-28 09:00:00,2015-07-28 08:59:00,2015-07-28 09:10:00,2068.5,2069.25,2063.5,2064.5,-0.0019337684312303602,23.0,85437,7699,287.5,24563137.5,100.0,99.8,90.9,2015-07-28 08:00:00,-0.0004823344989750392,7.0,7159
Consumer Confidence,2015-08-25 09:00:00,2015-08-25 08:59:00,2015-08-25 09:10:00,1930.5,1933.5,1925.0,1931.25,0.0003885003885003885,34.0,94059,17549,425.0,39975075.0,93.4,90.9,101.5,2015-08-25 08:00:00,0.00258732212160414,32.0,19692
Consumer Confidence,2015-09-29 09:00:00,2015-09-29 08:59:00,2015-09-29 09:10:00,1877.75,1882.5,1875.25,1876.25,-0.0007988283850352816,29.0,121254,12571,362.5,43954575.0,97.0,101.3,103.0,2015-09-29 08:00:00,-0.0017259691980881571,17.0,10652
Consumer Confidence,2015-10-27 09:00:00,2015-10-27 08:59:00,2015-10-27 09:10:00,2060.5,2060.75,2058.75,2060.0,-0.0002426595486532395,8.0,28640,4028,100.0,2864000.0,102.9,103.0,97.6,2015-10-27 08:00:00,-0.00024304289707133308,4.0,3961
Consumer Confidence,2015-11-24 09:00:00,2015-11-24 08:59:00,2015-11-24 09:10:00,2077.5,2078.25,2074.5,2076.25,-0.0006016847172081829,15.0,52864,5985,187.5,9912000.0,99.5,99.1,90.4,2015-11-24 08:00:00,0.00012072920439454304,7.0,7940
Consumer Confidence,2016-01-26 09:00:00,2016-01-26 08:59:00,2016-01-26 09:10:00,1877.25,1887.75,1876.75,1887.0,0.0051937674790251695,44.0,77250,11673,550.0,42487500.0,96.5,96.3,98.1,2016-01-26 08:00:00,0.00039957378795950983,13.0,10800
Consumer Confidence,2016-02-23 09:00:00,2016-02-23 08:59:00,2016-02-23 09:10:00,1935.5,1935.5,1930.0,1930.25,-0.0027124773960217,22.0,51619,7935,275.0,14195225.0,97.3,98.1,92.2,2016-02-23 08:00:00,-0.0012904890953671442,13.0,12794
Consumer Confidence,2016-03-29 09:00:00,2016-03-29 08:59:00,2016-03-29 09:10:00,2023.25,2026.25,2023.0,2026.25,0.001482762881502533,13.0,51837,6056,162.5,8423512.5,94.0,94.0,96.2,2016-03-29 08:00:00,0.00012357884330202668,11.0,8759
Consumer Confidence,2016-04-26 09:00:00,2016-04-26 08:59:00,2016-04-26 09:10:00,2090.0,2091.25,2088.5,2088.75,-0.0005980861244019139,11.0,44166,5287,137.5,6072825.0,96.0,96.2,94.2,2016-04-26 08:00:00,-0.00011977482333213559,4.0,4659
Consumer Confidence,2016-05-31 09:00:00,2016-05-31 08:59:00,2016-05-31 09:10:00,2099.0,2101.25,2098.25,2100.75,0.0008337303477846593,12.0,39101,4152,150.0,5865150.0,96.1,94.7,92.6,2016-05-31 08:00:00,0.00011904761904761905,5.0,4889
Consumer Confidence,2016-06-28 09:00:00,2016-06-28 08:59:00,2016-06-28 09:10:00,2016.5,2018.25,2013.25,2013.25,-0.001611703446565832,20.0,83139,7795,250.0,20784750.0,93.5,92.4,98.0,2016-06-28 08:00:00,-0.0013678189505098234,12.0,16319
Consumer Confidence,2016-07-26 09:00:00,2016-07-26 08:59:00,2016-07-26 09:10:00,2166.0,2167.25,2165.25,2165.5,-0.00023084025854108956,8.0,46521,3743,100.0,4652100.0,96.0,97.4,97.3,2016-07-26 08:00:00,-0.00011564704521799469,3.0,6868
Consumer Confidence,2016-08-30 09:00:00,2016-08-30 08:59:00,2016-08-30 09:10:00,2179.0,2180.0,2175.0,2176.0,-0.0013767783386874712,20.0,68373,6597,250.0,17093250.0,97.0,96.7,101.1,2016-08-30 08:00:00,0.0001147710317915758,4.0,7497
Consumer Confidence,2016-09-27 09:00:00,2016-09-27 08:59:00,2016-09-27 09:10:00,2142.75,2148.25,2142.75,2146.0,0.0015167425037918563,22.0,87725,7860,275.0,24124375.0,99.0,101.8,104.1,2016-09-27 08:00:00,-0.0014018691588785046,16.0,17182
