event,date,beginD,endD,O,H,L,C,R,T,V,N,CD,TD,F,P,A,pre_date,pre_R,pre_T,pre_V
Consumer Confidence,2014-08-26 09:00:00,2014-08-26 08:59:00,2014-08-26 09:10:00,109.7890625,109.796875,109.78125,109.78125,-7.11591830925781e-05,2.0,13274,3207,31.25,414812.5,89.0,90.3,92.4,2014-08-26 08:00:00,7.116424708226587e-05,2.0,8504
Consumer Confidence,2014-09-30 09:00:00,2014-09-30 08:59:00,2014-09-30 09:10:00,109.4296875,109.4375,109.421875,109.4296875,0.0,2.0,5125,711,31.25,160156.25,92.5,93.4,86.0,2014-09-30 08:00:00,7.141326858530314e-05,2.0,6462
Consumer Confidence,2014-10-28 09:00:00,2014-10-28 08:59:00,2014-10-28 09:10:00,109.9296875,109.9375,109.921875,109.9296875,0.0,2.0,3662,1177,31.25,114437.5,87.0,89.0,94.5,2014-10-28 08:00:00,7.10631040363843e-05,2.0,3350
Consumer Confidence,2014-11-25 09:00:00,2014-11-25 08:59:00,2014-11-25 09:10:00,109.8515625,109.875,109.8515625,109.859375,7.111869710546903e-05,3.0,9564,1940,46.875,448312.5,96.0,94.5,88.7,2014-11-25 08:00:00,0.0,2.0,6048
Consumer Confidence,2015-01-27 09:00:00,2015-01-27 08:59:00,2015-01-27 09:10:00,109.7734375,109.7734375,109.75,109.7578125,-0.00014233862358550993,3.0,8328,1941,46.875,390375.0,95.5,93.1,102.9,2015-01-27 08:00:00,7.117437722419929e-05,2.0,3813
Consumer Confidence,2015-02-24 09:00:00,2015-02-24 08:59:00,2015-02-24 09:10:00,109.6328125,109.65625,109.5625,109.59375,-0.0003563030000712606,12.0,34199,6399,187.5,6412312.5,99.5,103.8,96.4,2015-02-24 08:00:00,0.0,2.0,4667
Consumer Confidence,2015-03-31 09:00:00,2015-03-31 08:59:00,2015-03-31 09:10:00,109.5625,109.5625,109.546875,109.5546875,-7.13063320022818e-05,2.0,6545,264,31.25,204531.25,96.4,98.8,101.3,2015-03-31 08:00:00,7.13063320022818e-05,2.0,3471
Consumer Confidence,2015-04-28 09:00:00,2015-04-28 08:59:00,2015-04-28 09:10:00,109.6796875,109.703125,109.6796875,109.703125,0.0002136904337915806,3.0,12719,541,46.875,596203.125,102.5,101.4,95.2,2015-04-28 08:00:00,-7.123014459719353e-05,2.0,11969
Consumer Confidence,2015-05-26 09:00:00,2015-05-26 08:59:00,2015-05-26 09:10:00,109.578125,109.578125,109.5625,109.578125,0.0,2.0,18262,273,31.25,570687.5,95.0,94.3,95.4,2015-05-26 08:00:00,7.130124777183601e-05,3.0,5261
Consumer Confidence,2015-06-30 09:00:00,2015-06-30 08:59:00,2015-06-30 09:10:00,109.46875,109.46875,109.453125,109.4609375,-7.136739937196689e-05,2.0,5361,155,31.25,167531.25,97.1,95.4,101.4,2015-06-30 08:00:00,7.137758743754462e-05,2.0,2559
Consumer Confidence,2015-07-28 09:00:00,2015-07-28 08:59:00,2015-07-28 09:10:00,109.5078125,109.515625,109.5,109.5,-7.134194192765928e-05,2.0,15818,843,31.25,494312.5,100.0,99.8,90.9,2015-07-28 08:00:00,7.136230642974381e-05,1.0,4023
Consumer Confidence,2015-08-25 09:00:00,2015-08-25 08:59:00,2015-08-25 09:10:00,109.6796875,109.6875,109.6640625,109.6640625,-0.00014246028919438707,3.0,19857,911,46.875,930796.875,93.4,90.9,101.5,2015-08-25 08:00:00,-0.00014245014245014244,3.0,11619
