event,date,beginD,endD,O,H,L,C,R,T,V,N,CD,TD,F,P,A,pre_date,pre_R,pre_T,pre_V
Consumer Confidence,2014-08-26 09:00:00,2014-08-26 08:59:00,2014-08-26 09:10:00,155.71875,155.78125,155.53125,155.53125,-0.0012040939193257074,8.0,2332,924,250.0,583000.0,89.0,90.3,92.4,2014-08-26 08:00:00,0.0,6.0,1434
Consumer Confidence,2014-09-30 09:00:00,2014-09-30 08:59:00,2014-09-30 09:10:00,153.3125,153.5,153.28125,153.40625,0.0006114961271911944,7.0,2126,969,218.75,465062.5,92.5,93.4,86.0,2014-09-30 08:00:00,0.0012264922322158627,8.0,1537
Consumer Confidence,2014-10-28 09:00:00,2014-10-28 08:59:00,2014-10-28 09:10:00,156.84375,156.875,156.53125,156.59375,-0.0015939430165371588,11.0,2289,1203,343.75,786843.75,87.0,89.0,94.5,2014-10-28 08:00:00,0.000994431185361973,10.0,1145
Consumer Confidence,2014-11-25 09:00:00,2014-11-25 08:59:00,2014-11-25 09:10:00,158.4375,158.6875,158.375,158.4375,0.0,10.0,4282,1797,312.5,1338125.0,96.0,94.5,88.7,2014-11-25 08:00:00,-0.0007902015013828526,9.0,1625
Consumer Confidence,2015-01-27 09:00:00,2015-01-27 08:59:00,2015-01-27 09:10:00,176.8125,176.875,176.4375,176.75,-0.0003534817956875221,14.0,2574,1505,437.5,1126125.0,95.5,93.1,102.9,2015-01-27 08:00:00,0.0010630758327427356,11.0,1801
Consumer Confidence,2015-02-24 09:00:00,2015-02-24 08:59:00,2015-02-24 09:10:00,167.0625,167.3125,166.3125,167.03125,-0.00018705574261129816,32.0,7903,4110,1000.0,7903000.0,99.5,103.8,96.4,2015-02-24 08:00:00,-0.0005622188905547226,8.0,2538
Consumer Confidence,2015-03-31 09:00:00,2015-03-31 08:59:00,2015-03-31 09:10:00,169.6875,169.71875,169.46875,169.65625,-0.00018416206261510129,8.0,2206,525,250.0,551500.0,96.4,98.8,101.3,2015-03-31 08:00:00,-0.0005522827687776141,11.0,2408
Consumer Confidence,2015-04-28 09:00:00,2015-04-28 08:59:00,2015-04-28 09:10:00,167.46875,167.78125,167.375,167.625,0.000933009889904833,13.0,3406,960,406.25,1383687.5,102.5,101.4,95.2,2015-04-28 08:00:00,-0.0013040238450074517,8.0,1589
Consumer Confidence,2015-05-26 09:00:00,2015-05-26 08:59:00,2015-05-26 09:10:00,158.90625,159.0625,158.65625,159.0625,0.0009832841691248771,13.0,2761,702,406.25,1121656.25,95.0,94.3,95.4,2015-05-26 08:00:00,0.001971608832807571,15.0,1253
Consumer Confidence,2015-06-30 09:00:00,2015-06-30 08:59:00,2015-06-30 09:10:00,154.15625,154.1875,153.9375,153.9375,-0.0014190147982971822,8.0,2444,671,250.0,611000.0,97.1,95.4,101.4,2015-06-30 08:00:00,0.0010164667615368977,5.0,977
Consumer Confidence,2015-07-28 09:00:00,2015-07-28 08:59:00,2015-07-28 09:10:00,158.25,158.46875,158.125,158.15625,-0.0005924170616113745,11.0,2506,622,343.75,861437.5,100.0,99.8,90.9,2015-07-28 08:00:00,0.0009883376161296698,6.0,1188
Consumer Confidence,2015-08-25 09:00:00,2015-08-25 08:59:00,2015-08-25 09:10:00,162.84375,163.03125,162.46875,162.53125,-0.0019190174630589138,18.0,4388,1179,562.5,2468250.0,93.4,90.9,101.5,2015-08-25 08:00:00,-0.004395184406650105,24.0,3104
Consumer Confidence,2015-09-29 09:00:00,2015-09-29 08:59:00,2015-09-29 09:10:00,160.6875,160.75,160.5,160.71875,0.00019447685725398678,8.0,2512,747,250.0,628000.0,97.0,101.3,103.0,2015-09-29 08:00:00,0.0017567831348819052,11.0,1161
