event,date,beginD,endD,O,H,L,C,R,T,V,N,CD,TD,F,P,A,pre_date,pre_R,pre_T,pre_V
fedofficialspeaking,2014-05-29 20:30:00,2014-05-29 20:29:00,2014-05-29 20:40:00,1916.0,1916.5,1915.75,1916.5,0.00026096033402922753,3.0,638,268,37.5,23925.0,,,,2014-05-29 19:30:00,-0.0002608242044861763,2.0,434
fedofficialspeaking,2014-05-30 13:00:00,2014-05-30 12:59:00,2014-05-30 13:10:00,1917.0,1918.5,1916.75,1918.0,0.0005216484089723526,7.0,13075,3304,87.5,1144062.5,,,,2014-05-30 12:00:00,0.00039144050104384135,7.0,15827
fedofficialspeaking,2014-05-30 16:00:00,2014-05-30 15:59:00,2014-05-30 16:10:00,1919.0,1919.5,1919.0,1919.25,0.00013027618551328816,2.0,639,115,25.0,15975.0,,,,2014-05-30 15:00:00,-0.0006505334374186833,10.0,189309
fedofficialspeaking,2014-06-02 02:00:00,2014-06-02 01:59:00,2014-06-02 02:10:00,1923.0,1923.5,1922.5,1922.5,-0.00026001040041601667,4.0,3302,1233,50.0,165100.0,,,,2014-06-02 01:00:00,0.0,3.0,2144
fedofficialspeaking,2014-06-03 12:50:00,2014-06-03 12:49:00,2014-06-03 13:00:00,1921.0,1921.75,1920.75,1921.75,0.00039042165538781884,4.0,7627,2076,50.0,381350.0,,,,2014-06-03 11:50:00,-0.0002603488674824265,3.0,8141
fedofficialspeaking,2014-06-05 12:30:00,2014-06-05 12:29:00,2014-06-05 12:40:00,1937.75,1938.5,1937.5,1938.0,0.00012901561088891756,4.0,12897,3316,50.0,644850.0,,,,2014-06-05 11:30:00,0.0009032258064516129,9.0,33984
fedofficialspeaking,2014-06-09 08:10:00,2014-06-09 08:09:00,2014-06-09 08:20:00,1947.25,1947.25,1946.0,1946.0,-0.0006419309282321222,5.0,4233,1230,62.5,264562.5,,,,2014-06-09 07:10:00,0.0,1.0,1237
fedofficialspeaking,2014-06-09 12:30:00,2014-06-09 12:29:00,2014-06-09 12:40:00,1950.0,1950.75,1949.5,1950.5,0.0002564102564102564,5.0,17236,4162,62.5,1077250.0,,,,2014-06-09 11:30:00,0.00012807377049180329,3.0,15905
fedofficialspeaking,2014-06-16 19:00:00,2014-06-16 18:59:00,2014-06-16 19:10:00,1929.75,1930.25,1929.5,1930.0,0.00012955045990413266,3.0,572,253,37.5,21450.0,,,,2014-06-16 18:00:00,0.0,2.0,115
fedofficialspeaking,2014-06-18 12:45:00,2014-06-18 12:44:00,2014-06-18 12:55:00,1932.0,1934.25,1931.25,1933.5,0.0007763975155279503,12.0,21045,5797,150.0,3156750.0,,,,2014-06-18 11:45:00,0.0006464959917248513,8.0,22665
fedofficialspeaking,2014-06-18 13:30:00,2014-06-18 13:29:00,2014-06-18 13:40:00,1940.0,1942.75,1939.75,1941.0,0.0005154639175257732,12.0,60759,17433,150.0,9113850.0,,,,2014-06-18 12:30:00,-0.001421555957611786,12.0,23718
fedofficialspeaking,2014-06-24 07:05:00,2014-06-24 07:04:00,2014-06-24 07:15:00,1949.75,1951.25,1949.75,1950.75,0.0005128862674701885,6.0,4325,1360,75.0,324375.0,,,,2014-06-24 06:05:00,-0.0005128205128205128,4.0,3124
fedofficialspeaking,2014-06-24 17:30:00,2014-06-24 17:29:00,2014-06-24 17:40:00,1941.5,1942.0,1941.25,1942.0,0.0002575328354365182,3.0,518,176,37.5,19425.0,,,,2014-06-24 16:30:00,0.00012873326467559217,1.0,2
