event,date,beginD,endD,O,H,L,C,R,T,V,N,CD,TD,F,P,A,pre_date,pre_R,pre_T,pre_V
fedofficialspeaking,2014-05-29 20:30:00,2014-05-29 20:29:00,2014-05-29 20:40:00,149.96875,150.03125,149.96875,150.03125,0.00041675349031048136,2.0,120,35,62.5,7500.0,,,,2014-05-29 19:30:00,-0.00041640641265875496,2.0,83
fedofficialspeaking,2014-05-30 13:00:00,2014-05-30 12:59:00,2014-05-30 13:10:00,150.1875,150.3125,150.1875,150.28125,0.0006242197253433209,4.0,892,313,125.0,111500.0,,,,2014-05-30 12:00:00,0.00020815986677768527,3.0,302
fedofficialspeaking,2014-05-30 16:00:00,2014-05-30 15:59:00,2014-05-30 16:10:00,149.90625,149.96875,149.875,149.96875,0.0004169272461955389,3.0,87,30,93.75,8156.25,,,,2014-05-30 15:00:00,0.0,3.0,464
fedofficialspeaking,2014-06-02 02:00:00,2014-06-02 01:59:00,2014-06-02 02:10:00,149.8125,149.90625,149.8125,149.875,0.00041718815185648727,3.0,162,83,93.75,15187.5,,,,2014-06-02 01:00:00,0.0002085070892410342,2.0,46
fedofficialspeaking,2014-06-03 12:50:00,2014-06-03 12:49:00,2014-06-03 13:00:00,147.6875,147.84375,147.5625,147.625,-0.00042319085907744394,9.0,1342,513,281.25,377437.5,,,,2014-06-03 11:50:00,-0.0004218519299725796,2.0,494
fedofficialspeaking,2014-06-05 12:30:00,2014-06-05 12:29:00,2014-06-05 12:40:00,147.46875,147.46875,147.40625,147.40625,-0.0004238186056367875,2.0,363,151,62.5,22687.5,,,,2014-06-05 11:30:00,-0.000423728813559322,3.0,917
fedofficialspeaking,2014-06-09 08:10:00,2014-06-09 08:09:00,2014-06-09 08:20:00,147.125,147.15625,146.96875,146.96875,-0.0010620220900594733,6.0,624,298,187.5,117000.0,,,,2014-06-09 07:10:00,0.00021244954323348204,3.0,734
fedofficialspeaking,2014-06-09 12:30:00,2014-06-09 12:29:00,2014-06-09 12:40:00,147.21875,147.21875,147.09375,147.15625,-0.0004245383145828911,4.0,1043,342,125.0,130375.0,,,,2014-06-09 11:30:00,0.00021231422505307856,3.0,824
fedofficialspeaking,2014-06-16 19:00:00,2014-06-16 18:59:00,2014-06-16 19:10:00,148.28125,148.28125,148.25,148.25,-0.00021074815595363542,1.0,6,5,31.25,187.5,,,,2014-06-16 18:00:00,0.0,0.0,3
fedofficialspeaking,2014-06-18 12:45:00,2014-06-18 12:44:00,2014-06-18 12:55:00,147.53125,147.71875,147.53125,147.65625,0.0008472781190425757,6.0,857,488,187.5,160687.5,,,,2014-06-18 11:45:00,0.0,3.0,486
fedofficialspeaking,2014-06-18 13:30:00,2014-06-18 13:29:00,2014-06-18 13:40:00,148.09375,148.6875,148.03125,148.15625,0.00042202996412745304,21.0,4213,2505,656.25,2764781.25,,,,2014-06-18 12:30:00,0.0,4.0,564
fedofficialspeaking,2014-06-24 07:05:00,2014-06-24 07:04:00,2014-06-24 07:15:00,147.375,147.46875,147.3125,147.40625,0.00021204410517387616,5.0,520,214,156.25,81250.0,,,,2014-06-24 06:05:00,-0.0008456659619450317,4.0,360
fedofficialspeaking,2014-06-24 17:30:00,2014-06-24 17:29:00,2014-06-24 17:40:00,148.34375,148.40625,148.34375,148.40625,0.0004213187276174426,2.0,11,2,62.5,687.5,,,,2014-06-24 16:30:00,0.0002106593638087213,1.0,6
fedofficialspeaking,2014-06-26 07:30:00,2014-06-26 07:29:00,2014-06-26 07:40:00,149.0,149.28125,148.84375,149.21875,0.0014681208053691276,14.0,1659,931,437.5,725812.5,,,,2014-06-26 06:30:00,-0.0006298551333193366,3.0,339
fedofficialspeaking,2014-06-26 12:05:00,2014-06-26 12:04:00,2014-06-26 12:15:00,149.5625,149.625,149.46875,149.5625,0.0,5.0,602,330,156.25,94062.5,,,,2014-06-26 11:05:00,-0.0006259127894846651,3.0,649
fedofficialspeaking,2014-06-30 12:10:00,2014-06-30 12:09:00,2014-06-30 12:20:00,149.65625,149.6875,149.65625,149.6875,0.00020881186051367718,1.0,383,156,31.25,11968.75,,,,2014-06-30 11:10:00,-0.0002087246921310791,3.0,878
fedofficialspeaking,2014-07-02 10:00:00,2014-07-02 09:59:00,2014-07-02 10:10:00,147.3125,147.34375,147.21875,147.25,-0.00042426813746287653,4.0,1799,840,125.0,224875.0,,,,2014-07-02 09:00:00,0.00021181952976064393,6.0,1831
fedofficialspeaking,2014-07-08 12:45:00,2014-07-08 12:44:00,2014-07-08 12:55:00,148.90625,148.9375,148.84375,148.84375,-0.0004197271773347324,3.0,512,244,93.75,48000.0,,,,2014-07-08 11:45:00,0.00020968756552736424,3.0,403
fedofficialspeaking,2014-07-09 13:00:00,2014-07-09 12:59:00,2014-07-09 13:10:00,148.71875,148.84375,148.625,148.78125,0.0004202563563773902,7.0,1818,1009,218.75,397687.5,,,,2014-07-09 12:00:00,-0.0014687368862778011,11.0,2098
fedofficialspeaking,2014-07-10 12:15:00,2014-07-10 12:14:00,2014-07-10 12:25:00,149.34375,149.46875,149.3125,149.375,0.0002092487968194183,5.0,1430,672,156.25,223437.5,,,,2014-07-10 11:15:00,-0.0006264355815410315,4.0,1108
fedofficialspeaking,2014-07-11 13:45:00,2014-07-11 13:44:00,2014-07-11 13:55:00,149.90625,149.9375,149.875,149.90625,0.0,2.0,514,199,62.5,32125.0,,,,2014-07-11 12:45:00,0.0004166666666666667,2.0,515
fedofficialspeaking,2014-07-15 09:00:00,2014-07-15 08:59:00,2014-07-15 09:10:00,149.625,149.96875,149.375,149.40625,-0.0014619883040935672,19.0,5253,2795,593.75,3118968.75,,,,2014-07-15 08:00:00,0.0006293266205160479,5.0,1077
fedofficialspeaking,2014-07-16 09:00:00,2014-07-16 08:59:00,2014-07-16 09:10:00,149.5,149.5625,149.375,149.40625,-0.0006270903010033445,6.0,829,450,187.5,155437.5,,,,2014-07-16 08:00:00,0.0012578616352201257,7.0,518
fedofficialspeaking,2014-07-17 12:35:00,2014-07-17 12:34:00,2014-07-17 12:45:00,151.34375,151.4375,151.25,151.25,-0.0006194507536650836,6.0,1974,735,187.5,370125.0,,,,2014-07-17 11:35:00,0.0006204756980351603,5.0,469
fedofficialspeaking,2014-08-13 08:05:00,2014-08-13 08:04:00,2014-08-13 08:15:00,152.25,152.25,152.125,152.15625,-0.0006157635467980296,4.0,1147,528,125.0,143375.0,,,,2014-08-13 07:05:00,-0.00020622808826562179,5.0,1358
fedofficialspeaking,2014-08-13 08:20:00,2014-08-13 08:19:00,2014-08-13 08:30:00,152.09375,152.125,152.0625,152.0625,-0.0002054653790836244,2.0,1237,393,62.5,77312.5,,,,2014-08-13 07:20:00,0.0004123711340206186,5.0,1790
fedofficialspeaking,2014-08-20 13:00:00,2014-08-20 12:59:00,2014-08-20 13:10:00,153.46875,153.53125,153.125,153.21875,-0.0016289961311341885,13.0,5688,3107,406.25,2310750.0,,,,2014-08-20 12:00:00,-0.0002037905033625433,2.0,346
fedofficialspeaking,2014-08-22 09:00:00,2014-08-22 08:59:00,2014-08-22 09:10:00,154.5,154.75,154.125,154.5,0.0,20.0,8832,4412,625.0,5520000.0,,,,2014-08-22 08:00:00,0.0,4.0,775
fedofficialspeaking,2014-09-03 23:00:00,2014-09-03 22:59:00,2014-09-03 23:10:00,153.96875,154.0,153.96875,153.96875,0.0,1.0,65,25,31.25,2031.25,,,,2014-09-03 22:00:00,0.00020308692120227456,1.0,24
fedofficialspeaking,2014-09-04 11:30:00,2014-09-04 11:29:00,2014-09-04 11:40:00,152.5625,152.59375,152.4375,152.46875,-0.0006145022531749283,5.0,452,216,156.25,70625.0,,,,2014-09-04 10:30:00,0.001230264506868977,6.0,1052
fedofficialspeaking,2014-09-04 18:00:00,2014-09-04 17:59:00,2014-09-04 18:10:00,152.25,152.25,152.25,152.25,0.0,0.0,5,2,0.0,0.0,,,,2014-09-04 17:00:00,-0.00020521239482864764,2.0,9
fedofficialspeaking,2014-09-04 19:15:00,2014-09-04 19:14:00,2014-09-04 19:25:00,152.0625,152.0625,152.0,152.03125,-0.0002055076037813399,2.0,54,42,62.5,3375.0,,,,2014-09-04 18:15:00,0.0,1.0,26
fedofficialspeaking,2014-09-04 20:00:00,2014-09-04 19:59:00,2014-09-04 20:10:00,152.0625,152.09375,152.0625,152.09375,0.0002055076037813399,1.0,63,32,31.25,1968.75,,,,2014-09-04 19:00:00,0.00041135335252982314,4.0,67
fedofficialspeaking,2014-09-22 09:05:00,2014-09-22 09:04:00,2014-09-22 09:15:00,150.5625,150.5625,150.4375,150.53125,-0.00020755500207555002,4.0,1421,645,125.0,177625.0,,,,2014-09-22 08:05:00,0.0,3.0,845
fedofficialspeaking,2014-09-22 18:30:00,2014-09-22 18:29:00,2014-09-22 18:40:00,150.5625,150.5625,150.5625,150.5625,0.0,0.0,4,2,0.0,0.0,,,,2014-09-22 17:30:00,-0.00020751193193608634,1.0,49
fedofficialspeaking,2014-09-23 08:00:00,2014-09-23 07:59:00,2014-09-23 08:10:00,150.78125,150.90625,150.75,150.8125,0.0002072538860103627,5.0,497,252,156.25,77656.25,,,,2014-09-23 07:00:00,0.00041407867494824016,4.0,408
fedofficialspeaking,2014-09-23 08:20:00,2014-09-23 08:19:00,2014-09-23 08:30:00,150.8125,150.9375,150.78125,150.9375,0.0008288437629506838,5.0,765,289,156.25,119531.25,,,,2014-09-23 07:20:00,0.0,5.0,1665
fedofficialspeaking,2014-09-23 08:30:00,2014-09-23 08:29:00,2014-09-23 08:40:00,150.9375,150.96875,150.78125,150.90625,-0.00020703933747412008,6.0,1127,430,187.5,211312.5,,,,2014-09-23 07:30:00,-0.00020699648105982198,4.0,937
fedofficialspeaking,2014-09-23 13:00:00,2014-09-23 12:59:00,2014-09-23 13:10:00,151.5,151.5,151.4375,151.46875,-0.00020627062706270627,2.0,451,184,62.5,28187.5,,,,2014-09-23 12:00:00,0.0006204756980351603,4.0,994
fedofficialspeaking,2014-09-23 20:15:00,2014-09-23 20:14:00,2014-09-23 20:25:00,151.46875,151.46875,151.4375,151.4375,-0.00020631318341242006,1.0,44,16,31.25,1375.0,,,,2014-09-23 19:15:00,0.0,0.0,36
fedofficialspeaking,2014-09-24 11:15:00,2014-09-24 11:14:00,2014-09-24 11:25:00,151.46875,151.46875,151.28125,151.3125,-0.0010315659170621002,6.0,571,283,187.5,107062.5,,,,2014-09-24 10:15:00,-0.0004127115146512588,3.0,2539
fedofficialspeaking,2014-09-24 12:00:00,2014-09-24 11:59:00,2014-09-24 12:10:00,151.46875,151.53125,151.375,151.4375,-0.00020631318341242006,5.0,1647,640,156.25,257343.75,,,,2014-09-24 11:00:00,0.0008257638315441783,6.0,918
fedofficialspeaking,2014-09-25 12:20:00,2014-09-25 12:19:00,2014-09-25 12:30:00,152.15625,152.28125,152.0625,152.25,0.0006161429451632779,7.0,1193,410,218.75,260968.75,,,,2014-09-25 11:20:00,0.0,4.0,841
fedofficialspeaking,2014-09-29 08:00:00,2014-09-29 07:59:00,2014-09-29 08:10:00,153.6875,153.75,153.5,153.59375,-0.0006100040666937779,8.0,2078,908,250.0,519500.0,,,,2014-09-29 07:00:00,0.0002041649652919559,4.0,669
fedofficialspeaking,2014-09-30 09:45:00,2014-09-30 09:44:00,2014-09-30 09:55:00,153.15625,153.28125,153.125,153.1875,0.00020403999183840033,5.0,1896,726,156.25,296250.0,,,,2014-09-30 08:45:00,0.0010201999591920017,9.0,2142
fedofficialspeaking,2014-10-02 11:00:00,2014-10-02 10:59:00,2014-10-02 11:10:00,155.09375,155.15625,154.8125,154.84375,-0.001611928269192021,11.0,2212,874,343.75,760375.0,,,,2014-10-02 10:00:00,0.00020214271275520516,5.0,4228
fedofficialspeaking,2014-10-02 12:00:00,2014-10-02 11:59:00,2014-10-02 12:10:00,154.625,154.65625,154.53125,154.65625,0.0002021018593371059,4.0,2215,811,125.0,276875.0,,,,2014-10-02 11:00:00,-0.001611928269192021,11.0,2212
fedofficialspeaking,2014-10-02 19:00:00,2014-10-02 18:59:00,2014-10-02 19:10:00,154.1875,154.1875,154.0625,154.0625,-0.0008107012565869477,4.0,56,39,125.0,7000.0,,,,2014-10-02 18:00:00,-0.00020271639975674033,2.0,50
fedofficialspeaking,2014-10-06 19:30:00,2014-10-06 19:29:00,2014-10-06 19:40:00,154.6875,154.6875,154.625,154.625,-0.00040404040404040404,2.0,67,22,62.5,4187.5,,,,2014-10-06 18:30:00,0.0008084074373484236,4.0,34
fedofficialspeaking,2014-10-07 13:30:00,2014-10-07 13:29:00,2014-10-07 13:40:00,156.4375,156.6875,156.4375,156.65625,0.0013983220135836995,8.0,3075,1222,250.0,768750.0,,,,2014-10-07 12:30:00,0.002002402883460152,10.0,1055
fedofficialspeaking,2014-10-07 14:00:00,2014-10-07 13:59:00,2014-10-07 14:10:00,156.59375,156.6875,156.5625,156.6875,0.0005986828976252245,4.0,3518,1078,125.0,439750.0,,,,2014-10-07 13:00:00,0.0003997601439136518,5.0,588
fedofficialspeaking,2014-10-07 15:30:00,2014-10-07 15:29:00,2014-10-07 15:40:00,156.8125,156.875,156.78125,156.875,0.00039856516540454366,3.0,301,81,93.75,28218.75,,,,2014-10-07 14:30:00,0.0005984440454817474,5.0,1423
fedofficialspeaking,2014-10-08 07:30:00,2014-10-08 07:29:00,2014-10-08 07:40:00,156.25,156.53125,156.25,156.53125,0.0018,9.0,1473,538,281.25,414281.25,,,,2014-10-08 06:30:00,-0.00019968051118210862,2.0,487
fedofficialspeaking,2014-10-08 13:00:00,2014-10-08 12:59:00,2014-10-08 13:10:00,155.84375,156.15625,155.78125,155.9375,0.00060156406657309,12.0,8412,4623,375.0,3154500.0,,,,2014-10-08 12:00:00,-0.0020016012810248197,16.0,4241
fedofficialspeaking,2014-10-09 08:45:00,2014-10-09 08:44:00,2014-10-09 08:55:00,156.71875,156.90625,156.65625,156.875,0.0009970089730807576,8.0,1852,795,250.0,463000.0,,,,2014-10-09 07:45:00,0.0,7.0,1694
fedofficialspeaking,2014-10-09 12:10:00,2014-10-09 12:09:00,2014-10-09 12:20:00,156.90625,157.15625,156.8125,156.96875,0.00039832702648874725,11.0,6367,2899,343.75,2188656.25,,,,2014-10-09 11:10:00,-0.0003996003996003996,5.0,2422
fedofficialspeaking,2014-10-09 12:15:00,2014-10-09 12:14:00,2014-10-09 12:25:00,157.0625,157.0625,156.4375,156.5,-0.003581376840429765,20.0,4586,2019,625.0,2866250.0,,,,2014-10-09 11:15:00,0.0005995203836930455,6.0,2131
